track_pos,track_artist_name,track_track_uri,track_artist_uri,track_track_name,track_album_uri,track_duration_ms,track_album_name,playlist_pid,playlist_name,playlist_description,playlist_modified_at,playlist_num_artists,playlist_num_albums,playlist_num_tracks,playlist_num_followers,playlist_num_edits,playlist_duration_ms,playlist_collaborative
38,Foreigner,spotify:track:36xEjbl8DtevPJgw6i9IuY,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,Feels Like the First Time - 2008 Remastered Version,spotify:album:3RYi1mBYapOaGWQvwRjRjr,232333,No End In Sight: The Very Best Of Foreigner (Expanded),2000,party party,,1446854400,116,142,152,1,3,39413578,False
39,Foreigner,spotify:track:6xMHglHoafdDFGXS6qfwSH,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,Hot Blooded,spotify:album:6lu6DYE0eHHp1gd3QGUYhu,268693,Double Vision [Expanded],2000,party party,,1446854400,116,142,152,1,3,39413578,False
40,Foreigner,spotify:track:7vidktgNZFQylTgH1GEnMs,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,Cold As Ice - Single / LP Version,spotify:album:1OU7zJvUfgxxPHgkTClt1M,200573,Foreigner [Expanded],2000,party party,,1446854400,116,142,152,1,3,39413578,False
41,Journey,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,Don't Stop Believin',spotify:album:43wpzak9OmQfrjyksuGwp0,250986,Escape,2000,party party,,1446854400,116,142,152,1,3,39413578,False
42,Queen,spotify:track:3vCHmbyOgc6pgwLUWfU4pF,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Somebody To Love - Remastered 2011,spotify:album:0QRlYlrBuP7eGpEMZvZiaQ,296480,A Day At The Races,2000,party party,,1446854400,116,142,152,1,3,39413578,False
43,Queen,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody - Remastered 2011,spotify:album:1TSZDcvlPtAnekTaItI3qO,354320,A Night At The Opera,2000,party party,,1446854400,116,142,152,1,3,39413578,False
44,Tiësto,spotify:track:6ns18ZPBRy4B4n06cplufL,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,We Own the Night (feat. Luciana) [Original Mix],spotify:album:5P21DkmdD7MiWR05Mde1Cc,269746,Club Life - Volume 2 Miami,2000,party party,,1446854400,116,142,152,1,3,39413578,False
45,Blue Foundation,spotify:track:3Oiauiojgokw9vWQvFmEoI,spotify:artist:1FWybrAwiSa0zKibdLfZZr,Eyes On Fire - Zeds Dead Remix,spotify:album:5wFQEk3sV9Zjo3xnGZLS42,320000,Eyes On Fire,2000,party party,,1446854400,116,142,152,1,3,39413578,False
46,Afrojack,spotify:track:24ATpf896KofEEDCd13myS,spotify:artist:4D75GcNG95ebPtNvoNVXhz,Take Over Control - Radio Edit,spotify:album:1GXqE2FTs1xeanQheyjtCA,208619,Take Over Control,2000,party party,,1446854400,116,142,152,1,3,39413578,False
47,Styx,spotify:track:1CQqupcyMg7176PPmIVmSj,spotify:artist:4salDzkGmfycRqNUbyBphh,Renegade,spotify:album:294yFGYq9SBXWR4g6dK63D,257226,Pieces Of Eight,2000,party party,,1446854400,116,142,152,1,3,39413578,False
48,Aerosmith,spotify:track:24NwBd5vZ2CK8VOQVnqdxr,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,Sweet Emotion,spotify:album:36IxIOGEBAXVozDSiVs09B,274133,Toys In The Attic,2000,party party,,1446854400,116,142,152,1,3,39413578,False
49,Wild Cherry,spotify:track:5uuJruktM9fMdN9Va0DUMl,spotify:artist:4apX9tIeHb85yPyy4F6FJG,Play That Funky Music,spotify:album:27ompw8zlrCkWMacS21ysX,300000,Wild Cherry,2000,party party,,1446854400,116,142,152,1,3,39413578,False
50,The Rolling Stones,spotify:track:1dv3ePjze9tPq2pk8eWJdR,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,Gimme Shelter,spotify:album:0c78nsgqX6VfniSNWIxwoD,270773,Let It Bleed,2000,party party,,1446854400,116,142,152,1,3,39413578,False
51,Dada Life,spotify:track:0qfrk2Wa53HcBusHfkgrZN,spotify:artist:00sAT5YX8W3xNd1EuqyHw9,Happy Violence,spotify:album:1lqbyIuEs1vy1lfgdKvCu0,228680,The Rules Of Dada,2000,party party,,1446854400,116,142,152,1,3,39413578,False
52,Dada Life,spotify:track:5FCHT8kMQ916mqPsZjv38t,spotify:artist:00sAT5YX8W3xNd1EuqyHw9,White Noise / Red Meat - Radio Edit,spotify:album:00gJ7r3utgHWH2oFlE9Abt,200809,White Noise / Red Meat,2000,party party,,1446854400,116,142,152,1,3,39413578,False
53,Dada Life,spotify:track:6lc6S1eIoJhi6YJn6lCnHB,spotify:artist:00sAT5YX8W3xNd1EuqyHw9,Feed The Dada,spotify:album:1lqbyIuEs1vy1lfgdKvCu0,183760,The Rules Of Dada,2000,party party,,1446854400,116,142,152,1,3,39413578,False
54,Dada Life,spotify:track:0FEPq7gON5KivhwrsWN0gI,spotify:artist:00sAT5YX8W3xNd1EuqyHw9,Kick Out The Epic Motherf**ker,spotify:album:1lqbyIuEs1vy1lfgdKvCu0,202506,The Rules Of Dada,2000,party party,,1446854400,116,142,152,1,3,39413578,False
55,The Who,spotify:track:1W1GpfPujmgp2vQqcpUhtU,spotify:artist:67ea9eGLXYMsO2eYQRui3w,Won't Get Fooled Again - Remix,spotify:album:53PBYiedQrASAs5sy63JqT,513000,Who's Next,2000,party party,,1446854400,116,142,152,1,3,39413578,False
56,Lynyrd Skynyrd,spotify:track:5EWPGh7jbTNO2wakv8LjUI,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,Free Bird,spotify:album:6DExt1eX4lflLacVjHHbOs,547106,Pronounced' Leh-'Nerd 'Skin-'Nerd,2000,party party,,1446854400,116,142,152,1,3,39413578,False
57,Boston,spotify:track:39C5FuZ8C8M0QI8CrMsPkR,spotify:artist:29kkCKKGXheHuoO829FxWK,Foreplay / Long Time,spotify:album:2QLp07RO6anZHmtcKTEvSC,467640,Boston,2000,party party,,1446854400,116,142,152,1,3,39413578,False
58,Boston,spotify:track:1QEEqeFIZktqIpPI4jSVSF,spotify:artist:29kkCKKGXheHuoO829FxWK,More Than a Feeling,spotify:album:2QLp07RO6anZHmtcKTEvSC,285133,Boston,2000,party party,,1446854400,116,142,152,1,3,39413578,False
59,Def Leppard,spotify:track:0LN0ASTtcGIbNTnjSHG6eO,spotify:artist:6H1RjVyNruCmrBEWRbD0VZ,Pour Some Sugar On Me (2012),spotify:album:5eJnzLcFCVt0Wcepaj6GiW,261532,Pour Some Sugar On Me (2012),2000,party party,,1446854400,116,142,152,1,3,39413578,False
60,Marky Mark And The Funky Bunch,spotify:track:5hWdgGVcfTeLPAiHM6EZG9,spotify:artist:4046bnFxFJdLEtG7F2qXaV,Good Vibrations,spotify:album:03ZfzcyHfeWSuADL87VuTQ,269306,Music For The People,2000,party party,,1446854400,116,142,152,1,3,39413578,False
61,Daft Punk,spotify:track:5RByQFt9Mlo8hDYJ921tCv,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,Around The World / Harder Better Faster Stronger,spotify:album:7u6zL7kqpgLPISZYXNTgYk,342626,Alive 2007,2000,party party,,1446854400,116,142,152,1,3,39413578,False
62,Eminem,spotify:track:0l08dcPEqNEUhymVBext8h,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,My Name Is,spotify:album:1S2zX2EzIJPkcptERhrkGh,268400,The Slim Shady LP,2000,party party,,1446854400,116,142,152,1,3,39413578,False
63,Eminem,spotify:track:4gXdMZkBN1neE9nX6yRALa,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Ass Like That,spotify:album:1kTlYbs28MXw7hwO0NLYif,265480,Encore,2000,party party,,1446854400,116,142,152,1,3,39413578,False
64,Eminem,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Without Me,spotify:album:2cWBwpqMsDJC1ZUwz813lo,290226,The Eminem Show,2000,party party,,1446854400,116,142,152,1,3,39413578,False
65,Stevie Wonder,spotify:track:74MfBIVOVHzQiJqfJ1dgTo,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,I Wish,spotify:album:2HVx2tiZnLX8xeaUthed1e,252373,Songs In The Key Of Life,2000,party party,,1446854400,116,142,152,1,3,39413578,False
66,Tommy Sparks,spotify:track:0Tsp2actykcSvJp3S5K2tM,spotify:artist:66uOhXPcCmXFosB8DkSs4b,She's Got Me Dancing,spotify:album:5Jd8WbEW8NmZrX0n1eynNe,207640,Tommy Sparks,2000,party party,,1446854400,116,142,152,1,3,39413578,False
67,Paul Simon,spotify:track:6vxHp3CDNo0afgKGp2yi1E,spotify:artist:2CvCyf1gEVhI0mX6aFXmVI,Me and Julio Down by the Schoolyard,spotify:album:7npBPiCHjPj8PVIGPuHXep,164813,Paul Simon,2000,party party,,1446854400,116,142,152,1,3,39413578,False
68,N.W.A.,spotify:track:52IuMfbQa9aqRPz2oYPAI8,spotify:artist:4EnEZVjo3w1cwcQYePccay,Express Yourself,spotify:album:0Y7qkJVZ06tS2GUCDptzyW,265101,Straight Outta Compton,2000,party party,,1446854400,116,142,152,1,3,39413578,False
69,Red Hot Chili Peppers,spotify:track:0uppYCG86ajpV2hSR3dJJ0,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,Give It Away,spotify:album:30Perjew8HyGkdSmqguYyg,282906,Blood Sugar Sex Magik,2000,party party,,1446854400,116,142,152,1,3,39413578,False
70,The Notorious B.I.G.,spotify:track:1Z7C8ClE8UEaH70jCCeJH2,spotify:artist:5me0Irg2ANcsgc93uaYrpb,Ten Crack Commandments - 2014 Remastered Version,spotify:album:7dRdaGSxgcBdJnrOviQRuB,204026,Life After Death (Remastered Edition),2000,party party,,1446854400,116,142,152,1,3,39413578,False
71,Joey Bada$$,spotify:track:1OO247bWnB5j3bjuwtMcDJ,spotify:artist:2P5sC9cVZDToPxyomzF1UH,World Domination,spotify:album:100sbzLt8tFdeksrctxIG1,162853,1999,2000,party party,,1446854400,116,142,152,1,3,39413578,False
72,Joey Bada$$,spotify:track:3lFr31BkSc4MxBN0iKqzI9,spotify:artist:2P5sC9cVZDToPxyomzF1UH,Survival Tactics (feat. Capital Steez),spotify:album:100sbzLt8tFdeksrctxIG1,202800,1999,2000,party party,,1446854400,116,142,152,1,3,39413578,False
73,alt-J,spotify:track:6BVBkKpZK09NmifUMZqj1z,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,Every Other Freckle,spotify:album:4oktVvRuO1In9B7Hz0xm0a,216004,This Is All Yours,2000,party party,,1446854400,116,142,152,1,3,39413578,False
74,Hot Chocolate,spotify:track:714hERk9U1W8FMYkoC83CO,spotify:artist:72VzFto8DYvKHocaHYNWSi,You Sexy Thing,spotify:album:10oMdAuUD0Tcc4BowCWUni,244920,Hot Chocolate,2000,party party,,1446854400,116,142,152,1,3,39413578,False
75,The Flaming Lips,spotify:track:2frHiHPVkiNCBMPkYF83Jr,spotify:artist:16eRpMNXSQ15wuJoeqguaB,The W.A.N.D.,spotify:album:6oVaKzODiXqew6MScEd7T4,222866,At War With The Mystics,2000,party party,,1446854400,116,142,152,1,3,39413578,False
76,The Black Keys,spotify:track:0zo4T5c5VV42554ySEc5J6,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,Gotta Get Away,spotify:album:6TvxpBzf9c8H1fsrAaQ8t3,180173,Turn Blue,2000,party party,,1446854400,116,142,152,1,3,39413578,False
77,Escort,spotify:track:7gA0yghKRzS6bOwPKeg0Vw,spotify:artist:4zkiM9DSLNAOmoS5WtSQDt,Cocaine Blues,spotify:album:08xCvkefUdrFFaqqff5W8S,247706,Escort,2000,party party,,1446854400,116,142,152,1,3,39413578,False
78,J. Cole,spotify:track:62vpWI1CHwFy7tMIcSStl8,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,No Role Modelz,spotify:album:7viNUmZZ8ztn2UB4XB3jIL,292986,2014 Forest Hills Drive,2000,party party,,1446854400,116,142,152,1,3,39413578,False
79,alt-J,spotify:track:0iIY7S7uiEYC9TvVaWZHV3,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,Left Hand Free - Lido Remix,spotify:album:1TtL3hpXpw9ymcqU0Gewvt,250214,Left Hand Free,2000,party party,,1446854400,116,142,152,1,3,39413578,False
80,Red Hot Chili Peppers,spotify:track:0VLdJcQUsqHBBwqPp4CIKJ,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,Aeroplane,spotify:album:2rQ135imvelvp89D8eEZOi,285066,One Hot Minute,2000,party party,,1446854400,116,142,152,1,3,39413578,False
81,Prince,spotify:track:62LJFaYihsdVrrkgUOJC05,spotify:artist:5a2EaR3hamoenG9rDuVn8j,Kiss,spotify:album:54DjkEN3wdCQgfCTZ9WjdB,226240,Parade - Music From The Motion Picture Under The Cherry Moon,2000,party party,,1446854400,116,142,152,1,3,39413578,False
82,Faul & Wad Ad,spotify:track:73Q6RsHfAkW8v8CK4pLF5R,spotify:artist:6HUm6AHJE0oisACMN6NNJ5,Changes,spotify:album:4zZhV656BJMvD2hSAveA91,342856,Changa,2000,party party,,1446854400,116,142,152,1,3,39413578,False
83,Kanye West,spotify:track:6C7RJEIUDqKkJRZVWdkfkH,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Stronger,spotify:album:3SZr5Pco2oqKFORCP3WNj9,311866,Graduation,2000,party party,,1446854400,116,142,152,1,3,39413578,False
84,Disclosure,spotify:track:1snNAXmmPXCn0dkF9DaPWw,spotify:artist:6nS5roXSAGhTGr34W6n7Et,You & Me - Flume Remix,spotify:album:0QFMqnSP2kBMTrbfNkj3SB,282812,Settle (The Remixes),2000,party party,,1446854400,116,142,152,1,3,39413578,False
85,Flume,spotify:track:4XjuiZdzJ1TdS85OkolHOg,spotify:artist:6nxWCVXbOlEVRexSbLsTer,Hyperparadise - Flume Mixtape Version,spotify:album:1yc3Ldus5BkJBVX9mSFMt4,79358,Flume: Deluxe Edition,2000,party party,,1446854400,116,142,152,1,3,39413578,False
86,Flume,spotify:track:1smPByMvAztYFNvyTHFYYp,spotify:artist:6nxWCVXbOlEVRexSbLsTer,Insane - L D R U Remix,spotify:album:1yc3Ldus5BkJBVX9mSFMt4,230824,Flume: Deluxe Edition,2000,party party,,1446854400,116,142,152,1,3,39413578,False
87,Justice,spotify:track:3G4JCgSCGZczlEsyB6YkVY,spotify:artist:1gR0gsQYfi6joyO1dlp76N,New Lands,spotify:album:1XWz4cZ6Q6YW3pOni2b49m,254493,"Audio, Video, Disco.",2000,party party,,1446854400,116,142,152,1,3,39413578,False
88,The Rolling Stones,spotify:track:4sFbojhVXQv7dBC9PVCcRn,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,Sympathy For The Devil,spotify:album:5WZFtmADuJUZPtt0NER0Qi,377746,Beggars Banquet,2000,party party,,1446854400,116,142,152,1,3,39413578,False
89,Charles Wright & The Watts 103rd Street Rhythm Band,spotify:track:4pW3aTX3kAmOaPJfc9UM12,spotify:artist:2t0kaaDtGZtmpczIAMaVTQ,Express Yourself,spotify:album:2aUItMxwVnUJg4btjcUxC5,233613,Express Yourself,2000,party party,,1446854400,116,142,152,1,3,39413578,False
90,KC & The Sunshine Band,spotify:track:2qVZpGu1v98tvUAutqyAfJ,spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,Get Down Tonight - 2004 Remastered Version,spotify:album:6S2ZnQo8V7k7EQZZEK3WcR,317160,KC and the Sunshine Band,2000,party party,,1446854400,116,142,152,1,3,39413578,False
91,Deorro,spotify:track:36alsPOroeWXUyTDsoeixK,spotify:artist:6VD4UEUPvtsemqD3mmTqCR,Rambo - Hardwell Edit,spotify:album:1BlSDSXKcUDQaVhTjXP67j,235860,Rambo,2000,party party,,1446854400,116,142,152,1,3,39413578,False
92,Audien,spotify:track:6NyMWLQ9oH8o8duJhfgfSz,spotify:artist:4xnMDfgEmXZEEDdITKcGuE,Hindsight,spotify:album:63CCluNcVM4wTPTjmJYnak,216413,"Anjunabeats, Vol. 11",2000,party party,,1446854400,116,142,152,1,3,39413578,False
93,Baauer,spotify:track:3zBWN2RILlV8RshkKvQsW8,spotify:artist:25fqWEebq6PoiGQIHIrdtv,One Touch,spotify:album:5NSO3yFjh0vJAGqtWARAVF,215000,One Touch,2000,party party,,1446854400,116,142,152,1,3,39413578,False
94,Party Favor,spotify:track:4Ijr3J0lnLCGZvpXBiqCjU,spotify:artist:7yPPzu5UdAK7yagQqjEZQm,Bap U,spotify:album:4MJYvwpi2vgctW2J9k054i,153696,Bap U,2000,party party,,1446854400,116,142,152,1,3,39413578,False
